 i  j inwind              x              z         v_x         v_y          v_z      rho     t_r
 4  9      1   5380000000.0   6020000000.0   8260000.0 105000000.0   20900000.0 2.11e-12 47100.0
 4 10      1   5380000000.0   7880000000.0  11100000.0  98700000.0   32200000.0 1.16e-12 48100.0
 4 11      1   5380000000.0  10300000000.0  14800000.0  91800000.0   50300000.0  5.6e-13 50300.0
 4 12     -1   5380000000.0  13500000000.0  19600000.0  84600000.0   78800000.0      0.0     0.0
 4 13     -1   5380000000.0  17700000000.0  25400000.0  77300000.0  123000000.0      0.0     0.0
 4 14     -1   5380000000.0  23100000000.0  32400000.0  70200000.0  192000000.0      0.0     0.0
 4 15     -1   5380000000.0  30300000000.0  40200000.0  63200000.0  294000000.0      0.0     0.0
 4 16     -1   5380000000.0  39600000000.0  48400000.0  56600000.0  442000000.0      0.0     0.0
 4 17     -1   5380000000.0  51800000000.0  55900000.0  50500000.0  643000000.0      0.0     0.0
 4 18     -1   5380000000.0  67800000000.0  55200000.0  44800000.0  807000000.0      0.0     0.0
 4 19     -1   5380000000.0  88800000000.0  52000000.0  39700000.0  972000000.0      0.0     0.0
 4 20     -1   5380000000.0 116000000000.0  46900000.0  35000000.0 1130000000.0      0.0     0.0
 4 21     -1   5380000000.0 152000000000.0  40700000.0  30800000.0 1260000000.0      0.0     0.0
 4 22     -1   5380000000.0 199000000000.0  34100000.0  27100000.0 1370000000.0      0.0     0.0
 4 23     -1   5380000000.0 260000000000.0  27900000.0  23800000.0 1450000000.0      0.0     0.0
 4 24     -1   5380000000.0 341000000000.0  22400000.0  20900000.0 1510000000.0      0.0     0.0
 4 25     -1   5380000000.0 446000000000.0  17700000.0  18300000.0 1560000000.0      0.0     0.0
 4 26     -1   5380000000.0 584000000000.0  13800000.0  16000000.0 1590000000.0      0.0     0.0
 4 27     -1   5380000000.0 764000000000.0  10700000.0  14000000.0 1610000000.0      0.0     0.0
 4 28     -1   5380000000.0          1e+12   8310000.0  12300000.0 1620000000.0      0.0     0.0
 4 29     -1   5380000000.0       1.31e+12   6400000.0  10700000.0 1630000000.0      0.0     0.0
 5  0      0   6690000000.0            0.0    468000.0 126000000.0     376000.0 1.93e-10 20000.0
 5  1      0   6690000000.0    700000000.0   1110000.0 119000000.0    1090000.0 8.54e-11 20700.0
 5  2      0   6690000000.0    916000000.0   1400000.0 117000000.0    1440000.0 6.05e-11 21900.0
 5  3      0   6690000000.0   1200000000.0   1790000.0 115000000.0    1960000.0 4.13e-11 23200.0
 5  4      0   6690000000.0   1570000000.0   2340000.0 113000000.0    2740000.0 2.73e-11 25600.0
 5  5      0   6690000000.0   2050000000.0   3090000.0 110000000.0    3920000.0 1.75e-11 30600.0
 5  6      0   6690000000.0   2690000000.0   4110000.0 106000000.0    5720000.0 1.08e-11 35600.0
 5  7      0   6690000000.0   3520000000.0   5490000.0 102000000.0    8470000.0 6.42e-12 39300.0
 5  8      0   6690000000.0   4600000000.0   7320000.0  97900000.0   12700000.0 3.68e-12 42200.0
 5  9      0   6690000000.0   6020000000.0   9750000.0  93000000.0   19300000.0 2.02e-12 44500.0
 5 10      0   6690000000.0   7880000000.0  12900000.0  87800000.0   29600000.0 1.06e-12 45700.0
 5 11      1   6690000000.0  10300000000.0  17000000.0  82200000.0   45600000.0 5.38e-13 47200.0
 5 12      1   6690000000.0  13500000000.0  22200000.0  75900000.0   71100000.0 2.78e-13 47500.0
 5 13     -1   6690000000.0  17700000000.0  28700000.0  69400000.0  111000000.0      0.0     0.0
 5 14     -1   6690000000.0  23100000000.0  36400000.0  62900000.0  172000000.0      0.0     0.0
 5 15     -1   6690000000.0  30300000000.0  45100000.0  56700000.0  264000000.0      0.0     0.0
 5 16     -1   6690000000.0  39600000000.0  54100000.0  50800000.0  397000000.0      0.0     0.0
 5 17     -1   6690000000.0  51800000000.0  62600000.0  45300000.0  579000000.0      0.0     0.0
 5 18     -1   6690000000.0  67800000000.0  68700000.0  40200000.0  806000000.0      0.0     0.0
 5 19     -1   6690000000.0  88800000000.0  64700000.0  35600000.0  971000000.0      0.0     0.0
 5 20     -1   6690000000.0 116000000000.0  58300000.0  31400000.0 1130000000.0      0.0     0.0
 5 21     -1   6690000000.0 152000000000.0  50600000.0  27600000.0 1260000000.0      0.0     0.0
 5 22     -1   6690000000.0 199000000000.0  42400000.0  24300000.0 1370000000.0      0.0     0.0
 5 23     -1   6690000000.0 260000000000.0  34700000.0  21300000.0 1450000000.0      0.0     0.0
 5 24     -1   6690000000.0 341000000000.0  27800000.0  18700000.0 1510000000.0      0.0     0.0
 5 25     -1   6690000000.0 446000000000.0  22000000.0  16400000.0 1560000000.0      0.0     0.0
 5 26     -1   6690000000.0 584000000000.0  17200000.0  14400000.0 1590000000.0      0.0     0.0
 5 27     -1   6690000000.0 764000000000.0  13400000.0  12600000.0 1610000000.0      0.0     0.0
 5 28     -1   6690000000.0          1e+12  10300000.0  11000000.0 1620000000.0      0.0     0.0
 5 29     -1   6690000000.0       1.31e+12   7950000.0   9630000.0 1630000000.0      0.0     0.0
 6  0      1   8320000000.0            0.0    541000.0 113000000.0     260000.0 1.39e-10 19100.0
 6  1      1   8320000000.0    700000000.0   1510000.0 106000000.0    1020000.0 5.68e-11 19500.0
 6  2      0   8320000000.0    916000000.0   1890000.0 104000000.0    1370000.0 4.09e-11 20300.0
 6  3      0   8320000000.0   1200000000.0   2400000.0 102000000.0    1880000.0 2.87e-11 21200.0
 6  4      0   8320000000.0   1570000000.0   3090000.0  99700000.0    2640000.0 1.96e-11 22800.0
 6  5      0   8320000000.0   2050000000.0   4010000.0  97000000.0    3770000.0 1.31e-11 25100.0
 6  6      0   8320000000.0   2690000000.0   5220000.0  93900000.0    5470000.0 8.44e-12 29700.0
 6  7      0   8320000000.0   3520000000.0   6830000.0  90400000.0    8040000.0 5.26e-12 35000.0
 6  8      0   8320000000.0   4600000000.0   8940000.0  86600000.0   12000000.0 3.16e-12 38900.0
 6  9      0   8320000000.0   6020000000.0  11700000.0  82300000.0   18000000.0 1.81e-12 41900.0
 6 10      0   8320000000.0   7880000000.0  15300000.0  77700000.0   27400000.0 9.93e-13 43500.0
 6 11      0   8320000000.0  10300000000.0  19800000.0  72800000.0   42000000.0  5.2e-13 44600.0
 6 12      1   8320000000.0  13500000000.0  25500000.0  67700000.0   64700000.0  2.6e-13 46400.0
 6 13      1   8320000000.0  17700000000.0  32600000.0  62200000.0  100000000.0 1.34e-13 46400.0
 6 14     -1   8320000000.0  23100000000.0  41100000.0  56400000.0  155000000.0      0.0     0.0
 6 15     -1   8320000000.0  30300000000.0  50600000.0  50900000.0  237000000.0      0.0     0.0
 6 16     -1   8320000000.0  39600000000.0  60600000.0  45600000.0  356000000.0      0.0     0.0
 6 17     -1   8320000000.0  51800000000.0  70000000.0  40600000.0  519000000.0      0.0     0.0
 6 18     -1   8320000000.0  67800000000.0  77700000.0  36100000.0  733000000.0      0.0     0.0
