# This is outer shell photoionization data from Verner et al (1996) 1996ApJ...465..487V (VFKY)
# supplemented by outer shell data from Verner and Yakovlev (1995) 	1995A&AS..109..125V (VY)
# The data is from VFKY up to the inner shell edge (if any) then from VY past this point
# It is processed via the python script verner_2_py.py from simple text dumps of the online
# data from these two papers
#
# The data is read in using the topbase mechanics, so level and level_label are just placholders
#Label z state islp(placeholder) level(placeholder) theshold_energy n_points
PhotVfkyS 1 1 -999 -999 1.360e+01 100
PhotVfky 5.8303e+01 1.3182e-18
PhotVfky 6.2463e+01 1.0934e-18
PhotVfky 6.6920e+01 9.0592e-19
PhotVfky 7.1694e+01 7.4972e-19
PhotVfky 7.6810e+01 6.1977e-19
PhotVfky 8.2290e+01 5.1178e-19
PhotVfky 8.8161e+01 4.2215e-19
PhotVfky 9.4452e+01 3.4785e-19
PhotVfky 1.0119e+02 2.8632e-19
PhotVfky 1.0841e+02 2.3544e-19
PhotVfky 1.1615e+02 1.9340e-19
PhotVfky 1.2443e+02 1.5871e-19
PhotVfky 1.3331e+02 1.3012e-19
PhotVfky 1.4282e+02 1.0657e-19
PhotVfky 1.5301e+02 8.7203e-20
PhotVfky 1.6393e+02 7.1288e-20
PhotVfky 1.7563e+02 5.8224e-20
PhotVfky 1.8816e+02 4.7510e-20
PhotVfky 2.0158e+02 3.8734e-20
PhotVfky 2.1597e+02 3.1551e-20
PhotVfky 2.3138e+02 2.5678e-20
PhotVfky 2.4788e+02 2.0880e-20
PhotVfky 2.6557e+02 1.6964e-20
PhotVfky 2.8452e+02 1.3772e-20
PhotVfky 3.0482e+02 1.1171e-20
PhotVfky 3.2657e+02 9.0543e-21
PhotVfky 3.4987e+02 7.3329e-21
PhotVfky 3.7483e+02 5.9342e-21
PhotVfky 4.0158e+02 4.7987e-21
PhotVfky 4.3023e+02 3.8776e-21
PhotVfky 4.6093e+02 3.1310e-21
PhotVfky 4.9382e+02 2.5264e-21
PhotVfky 5.2905e+02 2.0371e-21
PhotVfky 5.6680e+02 1.6414e-21
PhotVfky 6.0724e+02 1.3217e-21
PhotVfky 6.5056e+02 1.0636e-21
PhotVfky 6.9698e+02 8.5533e-22
PhotVfky 7.4671e+02 6.8741e-22
PhotVfky 7.9999e+02 5.5212e-22
PhotVfky 8.5707e+02 4.4318e-22
PhotVfky 9.1822e+02 3.5553e-22
PhotVfky 9.8374e+02 2.8505e-22
PhotVfky 1.0539e+03 2.2841e-22
PhotVfky 1.1291e+03 1.8293e-22
PhotVfky 1.2097e+03 1.4642e-22
PhotVfky 1.2960e+03 1.1714e-22
