#This is data for change exchance from Kingdon and Ferland 1996
#http://articles.adsabs.harvard.edu/pdf/1996ApJS..106..205K
#The way is works is X^{+n}+Y^{+m} -> X^{+(n+1)}+Y^{+m-1}
#X is usually hydrogen - so in most cases hydrogen is ionized by
#the recombination of the ion Y
#The energy defect delta_E is from Kingdon and Ferland 1999
#Where no data exists for any of the first four ions, we set everything to zero as per cloudy.
#https://iopscience.iop.org/article/10.1086/312008/pdf
#NB - the He+ rate is multiplied by 4.0 from Li	CT	Stancil, P. C., & Zygelman, B. 1996, ApJ, 472, 102
Label	Elem_1	Istate_1	Elem_2	Istate_2	a	b	c	d	Tmin	Tmax	delta_E	delta_E_ovr_K	KF_ion	KF_level
ChEx	1	1	25	5	4.43E-01	9.10E-01	1.10E+01	-7.00E+00	1.02E+03	1.00E+05	7.00E+00	0.00E+00	Mn+4	Total
ChEx	1	1	26	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Fe+1	nodata
ChEx	1	1	26	3	1.26E+00	7.72E-02	-4.10E-01	-7.31E+00	1.00E+03	1.00E+05	2.56E+00	0.00E+00	Fe+2	total
ChEx	1	1	26	4	3.42E+00	5.10E-01	-2.06E+00	-8.99E+00	1.00E+03	1.00E+05	6.30E+00	0.00E+00	Fe+3	total
ChEx	1	1	26	5	1.46E+01	3.57E-02	-1.00E+00	0.00E+00	1.02E+03	1.00E+05	1.00E+01	0.00E+00	Fe+4	Total
ChEx	1	1	27	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Co+1	nodata
ChEx	1	1	27	3	5.30E+00	2.40E-01	-1.00E+00	0.00E+00	1.02E+03	1.00E+05	2.90E+00	0.00E+00	Co+2	Total
ChEx	1	1	27	4	3.00E+00	8.70E-01	3.00E+00	-9.00E+00	1.02E+03	1.00E+05	6.00E+00	0.00E+00	Co+3	Total
ChEx	1	1	27	5	1.00E+00	5.80E-01	-1.00E+00	-1.00E+00	1.03E+03	1.00E+05	1.05E+01	0.00E+00	Co+4	3d5(4F)4p 5F0
ChEx	1	1	28	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Ni+1	nodata
ChEx	1	1	28	3	1.05E+00	1.28E+00	6.54E+00	-1.81E+00	1.00E+03	1.00E+05	3.00E+00	0.00E+00	Ni+2	total
ChEx	1	1	28	4	1.00E+01	3.50E-01	9.00E-01	-5.00E+00	1.03E+03	1.00E+05	5.20E+00	0.00E+00	Ni+3	Total
ChEx	1	1	28	5	6.00E+00	2.50E-01	-1.00E+00	0.00E+00	1.03E+03	1.00E+05	1.00E+01	0.00E+00	Ni+4	Total
ChEx	1	1	29	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Cu+1	nodata
ChEx	1	1	29	3	1.47E-03	4.00E+00	2.40E+01	-1.00E+00	1.03E+03	1.00E+05	3.44E+00	0.00E+00	Cu+2	3d9(2D)4s ID
ChEx	1	1	29	4	9.00E+00	3.70E-01	4.00E-01	-1.10E+01	1.03E+03	1.00E+05	5.60E+00	0.00E+00	Cu+3	Total
ChEx	1	1	29	5	1.20E+01	2.00E-01	8.00E-01	-7.00E+00	1.03E+03	1.00E+05	9.00E+00	0.00E+00	Cu+4	Total
ChEx	1	1	30	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Zn+1	nodata
ChEx	1	1	30	3	1.00E-05	0.00E+00	0.00E+00	0.00E+00	1.03E+03	1.00E+05	0.00E+00	0.00E+00	Zn+2	Total
ChEx	1	1	30	4	6.96E-04	4.00E+00	2.60E+01	-1.00E+00	1.03E+03	1.00E+05	7.80E+00	0.00E+00	Zn+3	Total
ChEx	1	1	30	5	1.33E-02	2.00E+00	-1.00E+00	1.20E+00	1.03E+03	1.00E+05	1.17E+01	0.00E+00	Zn+4	3d8(1s)4p2p0
ChEx	3	1	1	2	2.81E-03	2.00E+00	2.21E+02	-4.76E+01	1.00E+02	1.00E+04	0.00E+00	0.00E+00	Li0	Total
ChEx	6	1	1	2	1.00E-05	0.00E+00	0.00E+00	0.00E+00	1.00E+03	1.00E+04	2.34E+00	0.00E+00	C0	Total
ChEx	7	1	1	2	4.55E-03	-2.90E-01	-9.20E-01	-8.38E+00	1.00E+02	5.00E+04	-9.40E-01	1.09E+00	N0	Total
ChEx	8	1	1	2	7.40E-02	4.70E-01	2.44E+01	-7.40E-01	1.00E+01	1.00E+04	-2.00E-02	2.30E-02	O0	Total
ChEx	12	1	1	2	9.76E-03	3.14E+00	5.55E+01	-1.12E+00	5.00E+03	3.00E+04	1.52E+00	0.00E+00	Mg0	Total
ChEx	12	1	1	2	7.60E-03	0.00E+00	-1.97E+00	-4.32E+00	1.00E+04	3.00E+05	-1.44E+00	1.67E+00	Mg+1	Total
ChEx	14	2	1	2	4.10E-01	2.40E-01	3.17E+00	4.18E-03	5.00E+03	1.00E+06	-2.72E+00	3.18E+00	Si+1	Total
ChEx	16	1	1	2	1.00E-05	0.00E+00	0.00E+00	0.00E+00	1.00E+03	1.00E+04	0.00E+00	0.00E+00	S0	Total
ChEx	24	2	1	2	4.39E+00	6.10E-01	-8.90E-01	-3.56E+00	1.00E+03	3.00E+04	-2.89E+00	3.35E+00	Cr+1	Total
ChEx	25	2	1	2	2.83E-01	6.80E-03	6.44E-02	-9.70E+00	1.00E+03	3.00E+04	-2.04E+00	2.37E+00	Mn+1	Total
ChEx	26	2	1	2	2.10E+00	7.72E-02	-4.10E-01	-7.31E+00	1.00E+04	1.00E+05	-2.56E+00	3.01E+00	Fe+1	Total
ChEx	27	2	1	2	1.20E-02	3.49E+00	2.44E+01	-1.26E+00	1.00E+03	3.00E+04	-3.49E+00	4.04E+00	Co+1	Total
