CSTREN Line   7   6 122.433500  0.044667  3  5  419.794185 521.061311   2  21   2  21  7.461e+00  1.340e-01  4.103e-02  15   1  1.144e+00
SCT      0.000e+00  3.815e-02  8.989e-02  1.641e-01  2.793e-01  4.827e-01  6.380e-01  7.611e-01  8.633e-01  9.064e-01  9.322e-01  9.520e-01  9.611e-01  9.675e-01  1.000e+00
SCUPS    5.381e-02  4.819e-02  4.057e-02  3.610e-02  3.248e-02  2.835e-02  2.630e-02  2.569e-02  2.669e-02  2.817e-02  2.966e-02  3.124e-02  3.224e-02  3.320e-02  4.103e-02
CSTREN Line   7   6 110.225600  0.003533  3  1  419.794185 532.276982   2  33   2  33  8.288e+00  1.060e-02  0.000e+00  15   4  1.080e+00
SCT      0.000e+00  6.183e-02  1.410e-01  2.460e-01  3.919e-01  6.086e-01  7.464e-01  8.423e-01  9.142e-01  9.426e-01  9.591e-01  9.714e-01  9.770e-01  9.809e-01  1.000e+00
SCUPS    5.578e-02  4.417e-02  2.930e-02  2.161e-02  1.514e-02  8.022e-03  4.309e-03  2.087e-03  7.291e-04  3.179e-04  1.369e-04  4.486e-05  1.947e-05  8.468e-06  0.000e+00
CSTREN Line   7   6 110.225600  0.010567  3  3  419.794185 532.276982   2  34   2  34  8.286e+00  3.170e-02  3.932e-03  15   1  1.182e+00
SCT      0.000e+00  2.704e-02  6.476e-02  1.210e-01  2.140e-01  3.972e-01  5.560e-01  6.958e-01  8.220e-01  8.780e-01  9.120e-01  9.382e-01  9.502e-01  9.585e-01  1.000e+00
SCUPS    6.390e-03  5.978e-03  5.403e-03  5.128e-03  4.912e-03  4.612e-03  4.378e-03  4.196e-03  4.129e-03  4.190e-03  4.239e-03  4.211e-03  4.136e-03  4.093e-03  3.932e-03
CSTREN Line   7   6 110.225600  0.017600  3  5  419.794185 532.276982   2  35   2  35  8.286e+00  5.280e-02  1.180e-02  15   1  1.182e+00
SCT      0.000e+00  2.704e-02  6.476e-02  1.210e-01  2.140e-01  3.972e-01  5.560e-01  6.958e-01  8.220e-01  8.780e-01  9.120e-01  9.382e-01  9.502e-01  9.585e-01  1.000e+00
SCUPS    1.993e-02  1.846e-02  1.642e-02  1.554e-02  1.480e-02  1.382e-02  1.313e-02  1.258e-02  1.242e-02  1.259e-02  1.272e-02  1.263e-02  1.247e-02  1.228e-02  1.180e-02
CSTREN Line   7   6 180.639400  0.019300  1  3  426.293596 494.930259   3   8   3   8  5.060e+00  1.930e-02  1.523e-02  15   1  1.159e+00
SCT      0.000e+00  4.978e-02  1.152e-01  2.051e-01  3.362e-01  5.458e-01  6.896e-01  7.955e-01  8.796e-01  9.148e-01  9.363e-01  9.533e-01  9.614e-01  9.673e-01  1.000e+00
SCUPS    2.335e-01  2.093e-01  1.775e-01  1.259e-01  8.038e-02  4.289e-02  2.670e-02  1.718e-02  1.122e-02  9.709e-03  9.463e-03  9.880e-03  1.037e-02  1.088e-02  1.523e-02
CSTREN Line   7   6 173.855900  0.660000  1  3  426.293596 497.608332   3  13   3  13  5.258e+00  6.600e-01  5.007e-01  15   1  1.329e+00
SCT      0.000e+00  2.236e-02  5.385e-02  1.015e-01  1.819e-01  3.470e-01  4.983e-01  6.386e-01  7.729e-01  8.360e-01  8.765e-01  9.093e-01  9.252e-01  9.365e-01  1.000e+00
SCUPS    2.509e-01  2.592e-01  2.708e-01  2.756e-01  2.802e-01  2.925e-01  3.092e-01  3.328e-01  3.669e-01  3.870e-01  4.020e-01  4.163e-01  4.229e-01  4.295e-01  5.007e-01
CSTREN Line   7   6 131.834100  0.003480  1  3  426.293596 520.339719   3  18   3  18  6.929e+00  3.480e-03  1.842e-03  15   1  1.125e+00
SCT      0.000e+00  4.704e-02  1.094e-01  1.961e-01  3.249e-01  5.360e-01  6.847e-01  7.958e-01  8.841e-01  9.205e-01  9.422e-01  9.588e-01  9.665e-01  9.719e-01  1.000e+00
SCUPS    4.603e-02  3.761e-02  2.644e-02  1.917e-02  1.377e-02  8.765e-03  6.165e-03  4.323e-03  2.796e-03  2.180e-03  1.870e-03  1.707e-03  1.665e-03  1.658e-03  1.842e-03
CSTREN Line   7   6 130.284800  0.122000  1  3  426.293596 521.458062   3  23   3  23  7.010e+00  1.220e-01  6.900e-02  15   1  1.204e+00
SCT      0.000e+00  2.823e-02  6.745e-02  1.256e-01  2.210e-01  4.058e-01  5.631e-01  6.996e-01  8.217e-01  8.758e-01  9.092e-01  9.351e-01  9.473e-01  9.558e-01  1.000e+00
SCUPS    5.941e-02  5.676e-02  5.308e-02  5.267e-02  5.392e-02  5.765e-02  6.190e-02  6.661e-02  7.148e-02  7.275e-02  7.292e-02  7.135e-02  7.018e-02  6.950e-02  6.900e-02
CSTREN Line   7   6 117.387600  0.001100  1  3  426.293596 531.913707   3  32   3  32  7.780e+00  1.100e-03  2.990e-04  15   4  1.080e+00
SCT      0.000e+00  6.559e-02  1.488e-01  2.577e-01  4.067e-01  6.226e-01  7.569e-01  8.490e-01  9.175e-01  9.445e-01  9.602e-01  9.720e-01  9.774e-01  9.811e-01  1.000e+00
SCUPS    1.941e-01  1.479e-01  8.921e-02  5.921e-02  3.748e-02  1.801e-02  9.333e-03  4.642e-03  1.991e-03  1.231e-03  8.877e-04  6.822e-04  6.005e-04  5.453e-04  2.990e-04
CSTREN Line   7   6 116.781600  0.044600  1  3  426.293596 532.461720   3  37   3  37  7.821e+00  4.460e-02  2.134e-02  15   1  1.538e+00
SCT      0.000e+00  8.716e-03  2.145e-02  4.181e-02  7.958e-02  1.738e-01  2.874e-01  4.276e-01  6.077e-01  7.119e-01  7.845e-01  8.452e-01  8.743e-01  8.948e-01  1.000e+00
SCUPS    1.829e-02  1.866e-02  1.920e-02  1.999e-02  2.115e-02  2.328e-02  2.505e-02  2.663e-02  2.806e-02  2.823e-02  2.764e-02  2.638e-02  2.542e-02  2.457e-02  2.134e-02
CSTREN Line   7   6 116.766100  0.969000  1  5  426.293596 532.475854   3  40   3  40  7.821e+00  9.690e-01  3.254e-05  15   4  2.414e+00
SCT      0.000e+00  2.731e-03  6.786e-03  1.344e-02  2.637e-02  6.239e-02  1.146e-01  1.971e-01  3.490e-01  4.734e-01  5.823e-01  6.889e-01  7.447e-01  7.854e-01  1.000e+00
SCUPS    1.070e-02  1.072e-02  1.074e-02  1.057e-02  1.023e-02  9.513e-03  8.832e-03  8.146e-03  7.262e-03  6.754e-03  7.253e-03  9.920e-03  1.199e-02  1.320e-02  3.254e-05
CSTREN Line   7   6 101317.122600  0.000001  3  1  426.294588 426.416961   4   6   4   6  4.966e-02  3.000e-06  0.000e+00  15   2  3.000e+01
SCT      0.000e+00  2.970e-02  7.108e-02  1.327e-01  2.344e-01  4.335e-01  6.048e-01  7.537e-01  8.844e-01  9.387e-01  9.684e-01  9.871e-01  9.935e-01  9.967e-01  1.000e+00
SCUPS    1.239e-01  1.080e-01  8.590e-02  6.970e-02  5.660e-02  5.210e-02  5.050e-02  4.230e-02  2.700e-02  1.720e-02  1.030e-02  5.170e-03  3.210e-03  2.180e-03  0.000e+00
CSTREN Line   7   6 180.642000  0.019300  3  3  426.294588 494.930259   4   8   4   8  5.058e+00  5.790e-02  4.598e-02  15   1  1.182e+00
SCT      0.000e+00  4.349e-02  1.015e-01  1.830e-01  3.055e-01  5.108e-01  6.591e-01  7.723e-01  8.646e-01  9.039e-01  9.280e-01  9.472e-01  9.564e-01  9.630e-01  1.000e+00
SCUPS    6.394e-01  5.801e-01  5.009e-01  3.561e-01  2.295e-01  1.232e-01  7.768e-02  5.045e-02  3.342e-02  2.907e-02  2.843e-02  2.976e-02  3.129e-02  3.266e-02  4.598e-02
CSTREN Line   7   6 173.858300  0.165000  3  3  426.294588 497.608332   4  13   4  13  5.256e+00  4.950e-01  3.757e-01  15   1  1.521e+00
SCT      0.000e+00  1.338e-02  3.265e-02  6.283e-02  1.168e-01  2.412e-01  3.743e-01  5.183e-01  6.787e-01  7.628e-01  8.194e-01  8.666e-01  8.897e-01  9.064e-01  1.000e+00
SCUPS    2.844e-01  2.821e-01  2.788e-01  2.737e-01  2.724e-01  2.730e-01  2.744e-01  2.788e-01  2.899e-01  2.979e-01  3.054e-01  3.130e-01  3.185e-01  3.227e-01  3.757e-01
CSTREN Line   7   6 173.858300  0.493333  3  5  426.294588 497.608332   4  14   4  14  5.256e+00  1.480e+00  1.125e+00  15   1  1.521e+00
SCT      0.000e+00  1.338e-02  3.265e-02  6.283e-02  1.168e-01  2.412e-01  3.743e-01  5.183e-01  6.787e-01  7.628e-01  8.194e-01  8.666e-01  8.897e-01  9.064e-01  1.000e+00
SCUPS    6.454e-01  6.549e-01  6.687e-01  6.724e-01  6.796e-01  7.012e-01  7.308e-01  7.760e-01  8.446e-01  8.854e-01  9.124e-01  9.421e-01  9.580e-01  9.724e-01  1.125e+00
CSTREN Line   7   6 173.764700  0.002277  3  5  426.294588 497.646767   4  16   4  16  5.261e+00  6.830e-03  2.652e-03  15   4  1.216e+00
SCT      0.000e+00  3.507e-02  8.290e-02  1.520e-01  2.606e-01  4.563e-01  6.094e-01  7.336e-01  8.396e-01  8.860e-01  9.147e-01  9.376e-01  9.485e-01  9.563e-01  1.000e+00
SCUPS    6.979e-01  6.369e-01  5.537e-01  4.730e-01  3.973e-01  2.693e-01  1.639e-01  8.710e-02  3.364e-02  1.628e-02  8.381e-03  4.344e-03  3.240e-03  2.793e-03  2.652e-03
CSTREN Line   7   6 131.835500  0.003467  3  3  426.294588 520.339719   4  18   4  18  6.927e+00  1.040e-02  5.531e-03  15   1  1.125e+00
SCT      0.000e+00  4.706e-02  1.095e-01  1.962e-01  3.249e-01  5.361e-01  6.848e-01  7.959e-01  8.841e-01  9.205e-01  9.422e-01  9.588e-01  9.665e-01  9.719e-01  1.000e+00
SCUPS    1.255e-01  1.037e-01  7.495e-02  5.504e-02  4.004e-02  2.578e-02  1.831e-02  1.282e-02  8.348e-03  6.524e-03  5.605e-03  5.112e-03  5.009e-03  4.991e-03  5.531e-03
CSTREN Line   7   6 130.286200  0.030467  3  3  426.294588 521.458062   4  23   4  23  7.008e+00  9.140e-02  5.168e-02  15   1  1.182e+00
SCT      0.000e+00  3.181e-02  7.561e-02  1.398e-01  2.428e-01  4.355e-01  5.927e-01  7.241e-01  8.382e-01  8.878e-01  9.181e-01  9.415e-01  9.525e-01  9.601e-01  1.000e+00
SCUPS    7.454e-02  7.003e-02  6.382e-02  6.196e-02  6.115e-02  6.020e-02  5.984e-02  5.961e-02  5.861e-02  5.708e-02  5.581e-02  5.401e-02  5.305e-02  5.218e-02  5.168e-02
CSTREN Line   7   6 130.286200  0.091333  3  5  426.294588 521.458062   4  24   4  24  7.008e+00  2.740e-01  1.549e-01  15   1  1.193e+00
SCT      0.000e+00  2.987e-02  7.120e-02  1.322e-01  2.311e-01  4.198e-01  5.771e-01  7.113e-01  8.296e-01  8.816e-01  9.135e-01  9.382e-01  9.498e-01  9.579e-01  1.000e+00
SCUPS    1.644e-01  1.546e-01  1.412e-01  1.384e-01  1.397e-01  1.437e-01  1.500e-01  1.581e-01  1.654e-01  1.673e-01  1.661e-01  1.620e-01  1.594e-01  1.572e-01  1.549e-01
CSTREN Line   7   6 130.284500  0.000230  3  5  426.294588 521.459302   4  30   4  30  7.010e+00  6.900e-04  2.068e-04  15   4  1.103e+00
SCT      0.000e+00  5.672e-02  1.302e-01  2.291e-01  3.695e-01  5.844e-01  7.255e-01  8.258e-01  9.026e-01  9.335e-01  9.518e-01  9.657e-01  9.722e-01  9.767e-01  1.000e+00
SCUPS    5.025e-01  4.455e-01  3.717e-01  3.152e-01  2.417e-01  1.347e-01  7.382e-02  3.651e-02  1.295e-02  5.750e-03  2.597e-03  1.012e-03  5.803e-04  3.936e-04  2.068e-04
CSTREN Line   7   6 117.388700  0.001100  3  3  426.294588 531.913707   4  32   4  32  7.778e+00  3.300e-03  9.115e-04  15   1  1.091e+00
SCT      0.000e+00  5.768e-02  1.323e-01  2.325e-01  3.742e-01  5.901e-01  7.311e-01  8.309e-01  9.068e-01  9.371e-01  9.549e-01  9.683e-01  9.744e-01  9.786e-01  1.000e+00
SCUPS    3.990e-02  3.213e-02  2.208e-02  1.722e-02  1.381e-02  1.026e-02  7.964e-03  5.915e-03  3.892e-03  2.951e-03  2.400e-03  1.982e-03  1.780e-03  1.632e-03  9.115e-04
CSTREN Line   7   6 116.782700  0.011167  3  3  426.294588 532.461720   4  37   4  37  7.819e+00  3.350e-02  1.601e-02  15   1  1.419e+00
SCT      0.000e+00  1.157e-02  2.836e-02  5.488e-02  1.031e-01  2.183e-01  3.479e-01  4.957e-01  6.686e-01  7.612e-01  8.232e-01  8.737e-01  8.976e-01  9.144e-01  1.000e+00
