i j rcen thetacen vol temp xi ne heat_xray heat_comp heat_lines heat_ff cool_comp cool_lines cool_ff rho n_h
4 1 2.046713e+11 1.805825e-01 4.622305e+32 1.204617e+07 1.411767e+09 9.839838e+05 1.020629e-12 5.809558e-07 0.000000e+00 2.432647e-19 5.235250e-07 7.259436e-13 7.644771e-12 1.930071e-18 8.140751e+05
4 2 2.046713e+11 2.939822e-01 7.085018e+32 1.180489e+07 1.243915e+07 1.200318e+08 1.537597e-08 7.247769e-05 0.000000e+00 3.338468e-15 6.639674e-05 1.084542e-08 1.127065e-07 2.354408e-16 9.930541e+07
4 3 2.046713e+11 4.017120e-01 9.082580e+32 9.299885e+06 1.285068e+06 1.057101e+09 1.527924e-06 5.913077e-04 0.000000e+00 3.620340e-13 4.198144e-04 8.762195e-07 7.839342e-06 2.073490e-15 8.745671e+08
4 4 2.046713e+11 5.040552e-01 1.065887e+33 8.072769e+06 4.066700e+05 3.292619e+09 1.550430e-05 1.779691e-03 0.000000e+00 4.291953e-12 1.114312e-03 8.677883e-06 7.128965e-05 6.458429e-15 2.724069e+09
4 5 2.046713e+11 6.012813e-01 1.186065e+33 7.622682e+06 1.766334e+05 6.972727e+09 6.653031e-05 3.376957e-03 0.000000e+00 1.948629e-11 2.043260e-03 3.920070e-05 3.114189e-04 1.367692e-14 5.768721e+09
4 6 2.046713e+11 6.936460e-01 1.273496e+33 7.291985e+06 9.609990e+04 1.202203e+10 2.370803e-04 5.744500e-03 0.000000e+00 5.780282e-11 3.192692e-03 1.171885e-04 9.071473e-04 2.358108e-14 9.946147e+09
4 7 2.046713e+11 7.813926e-01 1.332720e+33 6.943842e+06 6.246706e+04 1.829888e+10 5.332260e-04 8.199528e-03 0.000000e+00 1.410738e-10 4.541541e-03 2.731149e-04 2.055121e-03 3.589309e-14 1.513917e+10
4 8 2.046713e+11 8.647518e-01 1.367995e+33 6.623068e+06 4.134589e+04 2.555978e+10 1.107731e-03 1.112271e-02 0.000000e+00 2.747058e-10 5.661689e-03 5.363912e-04 3.923672e-03 5.013532e-14 2.114633e+10
4 9 2.046713e+11 9.439430e-01 1.383220e+33 6.224810e+06 2.796046e+04 3.435964e+10 2.120855e-03 1.372923e-02 0.000000e+00 5.023278e-10 6.492614e-03 9.771427e-04 6.895147e-03 6.739627e-14 2.842674e+10
4 10 2.046713e+11 1.019175e+00 1.381905e+33 5.666344e+06 1.895099e+04 4.641922e+10 3.960121e-03 1.694941e-02 2.895967e-16 1.053005e-09 7.288375e-03 1.805990e-03 1.205527e-02 9.105130e-14 3.840408e+10
4 11 2.046713e+11 1.090645e+00 1.367190e+33 4.971508e+06 1.333466e+04 6.436516e+10 7.735246e-03 2.191093e-02 0.000000e+00 2.275920e-09 8.601917e-03 3.537798e-03 2.182925e-02 1.262528e-13 5.325155e+10
4 12 2.046713e+11 1.158541e+00 1.341755e+33 4.290895e+06 8.338066e+03 9.018355e+10 1.697247e-02 2.832230e-02 4.480029e-15 4.884723e-09 9.238924e-03 7.151665e-03 4.004990e-02 1.768967e-13 7.461239e+10
4 13 2.046713e+11 1.223043e+00 1.307966e+33 3.733533e+06 5.656300e+03 1.240995e+11 3.196846e-02 3.589564e-02 3.540873e-10 1.092843e-08 1.027001e-02 1.418868e-02 7.119296e-02 2.434255e-13 1.026732e+11
4 14 2.046713e+11 1.284320e+00 1.267825e+33 3.302584e+06 3.944141e+03 1.652518e+11 6.198759e-02 4.383280e-02 0.000000e+00 2.093157e-08 1.122916e-02 2.661854e-02 1.193049e-01 3.241495e-13 1.367214e+11
4 15 2.046713e+11 1.342533e+00 1.223081e+33 2.956226e+06 3.059844e+03 2.126675e+11 1.163651e-01 5.841020e-02 0.000000e+00 3.830276e-08 1.288227e-02 4.715855e-02 1.877330e-01 4.171599e-13 1.759518e+11
4 16 2.046713e+11 1.397835e+00 1.175065e+33 2.665098e+06 2.087904e+03 2.644885e+11 1.710945e-01 6.084930e-02 1.507835e-13 6.763042e-08 1.240555e-02 8.353949e-02 2.766920e-01 5.188157e-13 2.188287e+11
4 17 2.046713e+11 1.450372e+00 1.125031e+33 2.397216e+06 1.559063e+03 3.199774e+11 2.570955e-01 6.458693e-02 0.000000e+00 1.078303e-07 1.201744e-02 1.421388e-01 3.859131e-01 6.276674e-13 2.647407e+11
4 18 2.046713e+11 1.500282e+00 1.073923e+33 2.097168e+06 1.232439e+03 3.888389e+11 4.322671e-01 7.600626e-02 0.000000e+00 1.704438e-07 1.225539e-02 2.504445e-01 5.355482e-01 7.627535e-13 3.217180e+11
4 19 2.046713e+11 1.547697e+00 1.022459e+33 1.746460e+06 8.250991e+02 4.849926e+11 7.341996e-01 7.481188e-02 7.868295e-13 3.126928e-07 1.055520e-02 5.215565e-01 7.645896e-01 9.513897e-13 4.012820e+11
5 0 2.470030e+11 6.121442e-02 2.459439e+32 6.831776e+06 7.965313e+12 1.319970e+02 0.000000e+00 5.867527e-11 0.000000e+00 7.144185e-27 2.984069e-11 0.000000e+00 1.061494e-19 2.589104e-22 1.092045e+02
5 1 2.470030e+11 1.805825e-01 6.859881e+32 1.203282e+07 6.727513e+08 1.413593e+06 2.134245e-12 5.755311e-07 0.000000e+00 3.446877e-19 5.149459e-07 1.498552e-12 1.576945e-11 2.772744e-18 1.169502e+06
5 2 2.470030e+11 2.939822e-01 1.051475e+33 1.059807e+07 5.260278e+06 1.954541e+08 4.427928e-08 8.118211e-05 0.000000e+00 7.229960e-15 6.680956e-05 2.932856e-08 2.844197e-07 3.833805e-16 1.617042e+08
5 3 2.470030e+11 4.017120e-01 1.347930e+33 7.996288e+06 6.968841e+05 1.340946e+09 2.725396e-06 5.141907e-04 0.000000e+00 5.044713e-13 3.148220e-04 1.441210e-06 1.177273e-05 2.630247e-15 1.109399e+09
5 4 2.470030e+11 5.040552e-01 1.581864e+33 7.134452e+06 2.507678e+05 3.677623e+09 2.126990e-05 1.371938e-03 0.000000e+00 4.451896e-12 7.577226e-04 1.099981e-05 8.404816e-05 7.213611e-15 3.042593e+09
5 5 2.470030e+11 6.012813e-01 1.760218e+33 6.772422e+06 1.193778e+05 7.103385e+09 7.623973e-05 2.370140e-03 0.000000e+00 1.675543e-11 1.273563e-03 4.130824e-05 3.061749e-04 1.393321e-14 5.876820e+09
5 6 2.470030e+11 6.936460e-01 1.889973e+33 6.480158e+06 7.014361e+04 1.136139e+10 2.286294e-04 3.739878e-03 0.000000e+00 4.245651e-11 1.850130e-03 1.062745e-04 7.675832e-04 2.228526e-14 9.399590e+09
5 7 2.470030e+11 7.813926e-01 1.977866e+33 6.225010e+06 4.848166e+04 1.623464e+10 4.606332e-04 5.015158e-03 0.000000e+00 8.987262e-11 2.487418e-03 2.178894e-04 1.539438e-03 3.184413e-14 1.343138e+10
5 8 2.470030e+11 8.647518e-01 2.030216e+33 5.883578e+06 3.277924e+04 2.216590e+10 8.975003e-04 6.626850e-03 0.000000e+00 1.713638e-10 2.996525e-03 4.091017e-04 2.796781e-03 4.347828e-14 1.833849e+10
5 9 2.470030e+11 9.439430e-01 2.052812e+33 5.363266e+06 2.163863e+04 3.044870e+10 1.837960e-03 8.341900e-03 0.000000e+00 3.419994e-10 3.401717e-03 7.811485e-04 5.058426e-03 5.972509e-14 2.519115e+10
5 10 2.470030e+11 1.019175e+00 2.050860e+33 4.748568e+06 1.437356e+04 4.251589e+10 3.769476e-03 1.072554e-02 0.000000e+00 7.949613e-10 3.883220e-03 1.551989e-03 9.326743e-03 8.339516e-14 3.517483e+10
