IonV   Ca  20   2   2   11.87181 1000   0     ..2s^22p^63s^23p^64s(2S_{1/2}) 
IonV   Ca  20   3   1   50.91350 1000   0     1s^22s^22p^63s^23p^6(1S_0) 
IonV   Ca  20   4   4   67.27000 1000   0     1s^22s^22p^63s^23p^5(2P^o_{3/2}) 
IonV   Ca  20   5   5   84.50000 1000   0     1s^22s^22p^63s^23p^4(3P_2) 
IonV   Ca  20   6   4  108.78000 1000   0     1s^22s^22p^63s^23p^3(4S^o_{3/2}) 
IonV   Ca  20   7   1  127.20000 1000   0     1s^22s^22p^63s^23p^2(3P_0) 
IonV   Ca  20   8   2  147.24000 1000   0     1s^22s^22p^63s^23p(2P^o_{1/2}) 
IonV   Ca  20   9   1  188.30000 1000   0     1s^22s^22p^63s^2(1S_0) 
IonV   Ca  20  10   2  211.27700 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonV   Ca  20  11   1  591.90000 1000   0     1s^22s^22p^6(1S_0) 
IonV   Ca  20  12   4  657.20000 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV   Ca  20  13   5  726.60000 1000   0     1s^22s^22p^4(3P_2) 
IonV   Ca  20  14   4  817.60000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV   Ca  20  15   1  894.50000 1000   0     1s^22s^22p^2(3P_0) 
IonV   Ca  20  16   2  974.00000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV   Ca  20  17   1 1087.00000 1000   0     1s^22s^2(1S_0) 
IonV   Ca  20  18   2 1157.00000 1000   0     1s^22s(2S_{1/2}) 
IonV   Ca  20  19   1 5129.16000 1000   0     1s^2(1S_0) 
IonV   Ca  20  20   2 5469.88000 1000   0     1s(2S_{1/2}) 
IonV   Ca  20  21   1 1.0000e+20   0   0     Bare 

IonV   Sc  21   1   4    6.56154 1000   0     ..2p^63s^23p^63d4s^2(2D_{3/2}) 
IonV   Sc  21   2   3   12.79987 1000   0     ..2p^63s^23p^63d4s(3D_1) 
IonV   Sc  21   3   4   24.75704 1000   0     ..2s^22p^63s^23p^63d(2D_{3/2}) 
IonV   Sc  21   4   1   73.49000 1000   0     1s^22s^22p^63s^23p^6(1S_0) 
IonV   Sc  21   5   4   91.90000 1000   0     1s^22s^22p^63s^23p^5(2P^o_{3/2}) 
IonV   Sc  21   7   4  138.00000 1000   0     1s^22s^22p^63s^23p^3(4S^o_{3/2}) 
IonV   Sc  21   8   1  158.10000 1000   0     1s^22s^22p^63s^23p^2(3P_0) 
IonV   Sc  21   9   2  180.02000 1000   0     1s^22s^22p^63s^23p(2P^o_{1/2}) 
IonV   Sc  21  10   1  225.10000 1000   0     1s^22s^22p^63s^2(1S_0) 
IonV   Sc  21  11   2  249.83700 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonV   Sc  21  12   1  687.36000 1000   0     1s^22s^22p^6(1S_0) 
IonV   Sc  21  13   4  756.70000 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV   Sc  21  14   5  830.80000 1000   0     1s^22s^22p^4(3P_2) 
IonV   Sc  21  15   4  927.50000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV   Sc  21  16   1 1009.00000 1000   0     1s^22s^22p^2(3P_0) 
IonV   Sc  21  17   2 1094.00000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV   Sc  21  18   1 1213.00000 1000   0     1s^22s^2(1S_0) 
IonV   Sc  21  19   2 1288.00000 1000   0     1s^22s(2S_{1/2}) 
IonV   Sc  21  20   1 5675.26000 1000   0     1s^2(1S_0) 
IonV   Sc  21  21   2 6033.76900 1000   0     1s(2S_{1/2}) 
IonV   Sc  21  22   1 1.0000e+20   0   0     Bare 

IonV   Ti  22   1   5    6.82000 1000   0     ..2p^63s^23p^63d^24s^2(3F_2) 
IonV   Ti  22   2   4   13.58000 1000   0     ..2p^63s^23p^63d^24s(4F_{3/2}) 
