i j rcen thetacen vol temp xi ne heat_xray heat_comp heat_lines heat_ff cool_comp cool_lines cool_ff rho n_h
2 14 1.224818e+11 1.284320e+00 4.388034e+32 4.497550e+06 6.888632e+03 2.834029e+11 1.720381e-01 2.217998e-01 0.000000e+00 1.091317e-07 7.752115e-02 7.094467e-02 4.041055e-01 5.559013e-13 2.344709e+11
2 15 1.224818e+11 1.342533e+00 4.233170e+32 3.768332e+06 4.370354e+03 3.998877e+11 3.260910e-01 2.812517e-01 0.000000e+00 2.630202e-07 8.225532e-02 1.504471e-01 7.422932e-01 7.843960e-13 3.308465e+11
2 16 1.224818e+11 1.397835e+00 4.066985e+32 3.182434e+06 2.900278e+03 5.489124e+11 7.283502e-01 3.739339e-01 1.414598e-13 6.117990e-07 8.844612e-02 3.131042e-01 1.293873e+00 1.076725e-12 4.541465e+11
2 17 1.224818e+11 1.450372e+00 3.893812e+32 2.766795e+06 2.091345e+03 7.120570e+11 1.283824e+00 4.382667e-01 6.398529e-14 1.164055e-06 9.258723e-02 5.987898e-01 2.040547e+00 1.396757e-12 5.891312e+11
2 18 1.224818e+11 1.500282e+00 3.716925e+32 2.498479e+06 1.463464e+03 8.559984e+11 1.722362e+00 4.451960e-01 0.000000e+00 1.693115e-06 8.513320e-02 1.009868e+00 2.814978e+00 1.679126e-12 7.082303e+11
2 19 1.224818e+11 1.547697e+00 3.538802e+32 2.414086e+06 1.250805e+03 9.259065e+11 2.109995e+00 4.510687e-01 1.392497e-08 1.951233e-06 8.136946e-02 1.315992e+00 3.241374e+00 1.816268e-12 7.660747e+11
3 0 1.631697e+11 6.121442e-02 1.034465e+32 1.397102e+07 6.531717e+12 3.288175e+02 0.000000e+00 2.705092e-10 0.000000e+00 3.496941e-26 3.082152e-10 0.000000e+00 9.138167e-19 6.449711e-22 2.720392e+02
3 1 1.631697e+11 1.805825e-01 2.885337e+32 1.208287e+07 2.917628e+09 7.656229e+05 6.254362e-13 6.975853e-07 0.000000e+00 2.369275e-19 6.531828e-07 4.392312e-13 4.634734e-12 1.501759e-18 6.334195e+05
3 2 1.631697e+11 2.939822e-01 4.422612e+32 1.505176e+07 4.597823e+07 4.913161e+07 2.010041e-09 4.610069e-05 0.000000e+00 6.161952e-16 5.255218e-05 1.726366e-09 2.111241e-08 9.637100e-17 4.064785e+07
3 3 1.631697e+11 4.017120e-01 5.669531e+32 1.129697e+07 2.761406e+06 7.508499e+08 5.669477e-07 6.263954e-04 0.000000e+00 2.174913e-13 5.550206e-04 4.279325e-07 4.322148e-06 1.472782e-15 6.211975e+08
3 4 1.631697e+11 5.040552e-01 6.653485e+32 9.407006e+06 7.617726e+05 2.735245e+09 9.781536e-06 2.318256e-03 0.000000e+00 3.681103e-12 1.686670e-03 5.855632e-06 5.276084e-05 5.365147e-15 2.262939e+09
3 5 1.631697e+11 6.012813e-01 7.403660e+32 8.876170e+06 3.075403e+05 6.286505e+09 5.343819e-05 4.873202e-03 0.000000e+00 2.108310e-11 3.394248e-03 3.120881e-05 2.713942e-04 1.233090e-14 5.200990e+09
3 6 1.631697e+11 6.936460e-01 7.949423e+32 8.400791e+06 1.583876e+05 1.188153e+10 1.984463e-04 9.044026e-03 0.000000e+00 7.082943e-11 5.885300e-03 1.123735e-04 9.453485e-04 2.330548e-14 9.829904e+09
3 7 1.631697e+11 7.813926e-01 8.319109e+32 7.990118e+06 9.059101e+04 1.954204e+10 5.812503e-04 1.413816e-02 0.000000e+00 2.009133e-10 8.721632e-03 3.060355e-04 2.499337e-03 3.833150e-14 1.616765e+10
3 8 1.631697e+11 8.647518e-01 8.539300e+32 7.517371e+06 5.647162e+04 2.951712e+10 1.248247e-03 1.954804e-02 0.000000e+00 4.911138e-10 1.158228e-02 7.034639e-04 5.545001e-03 5.789755e-14 2.442032e+10
3 9 1.631697e+11 9.439430e-01 8.634338e+32 7.024592e+06 3.551571e+04 4.193928e+10 2.658844e-03 2.560882e-02 0.000000e+00 9.741383e-10 1.382755e-02 1.433028e-03 1.085194e-02 8.226362e-14 3.469757e+10
3 10 1.631697e+11 1.019175e+00 8.626130e+32 6.520878e+06 2.480712e+04 5.713513e+10 5.949850e-03 3.407553e-02 5.799185e-16 1.868768e-09 1.674245e-02 2.688814e-03 1.946569e-02 1.120703e-13 4.726958e+10
3 11 1.631697e+11 1.090645e+00 8.534277e+32 5.976545e+06 1.707424e+04 7.626977e+10 9.945010e-03 4.017231e-02 0.000000e+00 3.742497e-09 1.867233e-02 4.846527e-03 3.334574e-02 1.496033e-13 6.310044e+10
3 12 1.631697e+11 1.158541e+00 8.375506e+32 5.372447e+06 1.189895e+04 1.016579e+11 1.919358e-02 4.964075e-02 0.000000e+00 7.080681e-09 2.081413e-02 8.757492e-03 5.641924e-02 1.994028e-13 8.410512e+10
3 13 1.631697e+11 1.223043e+00 8.164588e+32 4.715972e+06 8.292968e+03 1.369542e+11 4.048547e-02 6.601110e-02 0.000000e+00 1.494610e-08 2.320300e-02 1.632556e-02 9.645638e-02 2.686379e-13 1.133075e+11
3 14 1.631697e+11 1.284320e+00 7.914023e+32 4.056786e+06 5.919895e+03 1.863338e+11 7.865103e-02 8.237627e-02 0.000000e+00 3.131091e-08 2.596154e-02 3.140145e-02 1.665949e-01 3.654992e-13 1.541621e+11
3 15 1.631697e+11 1.342533e+00 7.634719e+32 3.493751e+06 3.914068e+03 2.501992e+11 1.321460e-01 9.849452e-02 0.000000e+00 6.386232e-08 2.671401e-02 6.051344e-02 2.806568e-01 4.907773e-13 2.070025e+11
3 16 1.631697e+11 1.397835e+00 7.334996e+32 3.060694e+06 2.749256e+03 3.240507e+11 2.569210e-01 1.240364e-01 0.000000e+00 1.278860e-07 2.809440e-02 1.113456e-01 4.428838e-01 6.356460e-13 2.681060e+11
3 17 1.631697e+11 1.450372e+00 7.022671e+32 2.691495e+06 2.026994e+03 4.069692e+11 4.220105e-01 1.381134e-01 1.120376e-09 2.210877e-07 2.848291e-02 1.993771e-01 6.580826e-01 7.983038e-13 3.367126e+11
3 18 1.631697e+11 1.500282e+00 6.703647e+32 2.309883e+06 1.370113e+03 5.087194e+11 6.484950e-01 1.479102e-01 0.000000e+00 3.782395e-07 2.605356e-02 3.780787e-01 9.588077e-01 9.979069e-13 4.209022e+11
3 19 1.631697e+11 1.547697e+00 6.382394e+32 1.895614e+06 9.959054e+02 6.490674e+11 1.273839e+00 1.765843e-01 9.372235e-13 7.744913e-07 2.497407e-02 8.109841e-01 1.423317e+00 1.273235e-12 5.370315e+11
4 0 2.046713e+11 6.121442e-02 1.657212e+32 1.096156e+07 5.845133e+12 2.335369e+02 0.000000e+00 1.233752e-10 0.000000e+00 1.633719e-26 1.091736e-10 0.000000e+00 4.123837e-19 4.580795e-22 1.932111e+02
4 1 2.046713e+11 1.805825e-01 4.622305e+32 1.204617e+07 1.453354e+09 9.839838e+05 1.025952e-12 5.726447e-07 0.000000e+00 2.517419e-19 5.360958e-07 7.259436e-13 7.644771e-12 1.930071e-18 8.140751e+05
4 2 2.046713e+11 2.939822e-01 7.085018e+32 1.180489e+07 1.192433e+07 1.200318e+08 1.451101e-08 7.134690e-05 0.000000e+00 3.397438e-15 6.377643e-05 1.084542e-08 1.127065e-07 2.354408e-16 9.930541e+07
4 3 2.046713e+11 4.017120e-01 9.082580e+32 9.299885e+06 1.260081e+06 1.057101e+09 1.317810e-06 5.666332e-04 0.000000e+00 3.699257e-13 4.131326e-04 8.761873e-07 7.839337e-06 2.073490e-15 8.745671e+08
4 4 2.046713e+11 5.040552e-01 1.065887e+33 8.072769e+06 4.041710e+05 3.292619e+09 1.616042e-05 1.781517e-03 0.000000e+00 4.325664e-12 1.112346e-03 8.678063e-06 7.128968e-05 6.458429e-15 2.724069e+09
4 5 2.046713e+11 6.012813e-01 1.186065e+33 7.622682e+06 1.776354e+05 6.972727e+09 7.351954e-05 3.451687e-03 0.000000e+00 2.087191e-11 2.071758e-03 3.920155e-05 3.114191e-04 1.367692e-14 5.768721e+09
4 6 2.046713e+11 6.936460e-01 1.273496e+33 7.291985e+06 9.880076e+04 1.202203e+10 2.265510e-04 5.813611e-03 0.000000e+00 5.712115e-11 3.267452e-03 1.171780e-04 9.071466e-04 2.358108e-14 9.946147e+09
4 7 2.046713e+11 7.813926e-01 1.332720e+33 6.943842e+06 6.235055e+04 1.829889e+10 5.708707e-04 8.503764e-03 0.000000e+00 1.394857e-10 4.570415e-03 2.732288e-04 2.055135e-03 3.589309e-14 1.513917e+10
4 8 2.046713e+11 8.647518e-01 1.367995e+33 6.623068e+06 4.139520e+04 2.555978e+10 1.026637e-03 1.072603e-02 0.000000e+00 2.838072e-10 5.608176e-03 5.361821e-04 3.923640e-03 5.013532e-14 2.114633e+10
